time,c0,c1,v0,v1,i0,i1
1520753054.55,81,5,8115000,7379000,440000,0
1520753055.56,81,5,8115000,7379000,437000,0
1520753056.57,81,5,8114000,7379000,475000,0
1520753057.58,81,5,8117000,7379000,444000,0
1520753058.59,81,5,8116000,7379000,422000,0
1520753059.59,81,5,8099000,7379000,569000,0
1520753060.6,81,5,8086000,7379000,669000,0
1520753061.6,80,5,8093000,7379000,676000,0
1520753062.61,80,5,8103000,7379000,577000,0
1520753063.62,80,5,8114000,7379000,473000,0
1520753064.63,80,5,8107000,7379000,508000,0
1520753065.64,80,5,8088000,7379000,769000,0
1520753066.65,80,5,8083000,7379000,677000,0
1520753067.65,80,5,8052000,7379000,763000,0
1520753068.66,80,5,8092000,7379000,670000,0
1520753069.66,80,5,8084000,7379000,662000,0
1520753070.67,80,5,8094000,7379000,583000,0
1520753071.68,80,5,8103000,7379000,644000,0
1520753072.69,80,5,8102000,7379000,592000,0
1520753073.7,80,5,8103000,7379000,658000,0
1520753074.71,80,5,8092000,7379000,623000,0
1520753075.71,80,5,8101000,7379000,596000,0
1520753076.72,80,5,8091000,7379000,688000,0
1520753077.73,80,5,8077000,7379000,587000,0
1520753078.74,80,5,8073000,7379000,872000,0
1520753079.75,80,5,8077000,7379000,689000,0
1520753080.75,80,5,8047000,7379000,794000,0
1520753081.76,80,5,8060000,7379000,931000,0
1520753082.77,80,5,8043000,7379000,958000,0
1520753083.78,80,5,8087000,7379000,693000,0
1520753084.79,80,5,8078000,7379000,722000,0
1520753085.79,80,5,8076000,7379000,709000,0
1520753086.8,80,5,7979000,7379000,1485000,0
1520753087.81,80,5,7968000,7379000,1798000,0
1520753088.81,80,5,7998000,7379000,1486000,0
1520753089.82,80,5,8051000,7379000,1257000,0
1520753090.83,80,5,8067000,7379000,834000,0
1520753091.83,80,5,8093000,7379000,556000,0
1520753092.84,80,5,8051000,7379000,987000,0
1520753093.84,80,5,8076000,7379000,714000,0
1520753094.85,80,5,8067000,7379000,778000,0
1520753095.85,80,5,8060000,7379000,844000,0
1520753096.86,80,5,8076000,7379000,590000,0
1520753097.87,80,5,8066000,7379000,810000,0
1520753098.87,80,5,7983000,7379000,1492000,0
1520753099.88,80,5,8049000,7379000,950000,0
1520753100.89,80,5,8051000,7379000,922000,0
1520753101.89,80,5,8070000,7379000,663000,0
1520753102.9,80,5,8066000,7379000,734000,0
1520753103.9,80,5,8078000,7379000,702000,0
1520753104.91,80,5,8065000,7379000,690000,0
1520753105.92,80,5,8083000,7379000,610000,0
1520753106.93,80,5,8080000,7379000,692000,0
1520753107.94,80,5,8067000,7379000,716000,0
1520753108.95,80,5,8067000,7379000,719000,0
1520753109.95,80,5,8084000,7379000,611000,0
1520753110.96,80,5,8092000,7379000,532000,0
1520753111.97,80,5,8088000,7379000,514000,0
1520753112.97,80,5,8088000,7379000,508000,0
1520753113.98,80,5,8088000,7379000,529000,0
1520753114.99,80,5,8062000,7379000,673000,0
1520753115.99,80,5,8087000,7379000,589000,0
1520753117.0,80,5,8059000,7379000,830000,0
1520753118.01,80,5,8080000,7379000,675000,0
1520753119.01,80,5,7994000,7379000,1166000,0
1520753120.02,80,5,7984000,7379000,1360000,0
1520753121.02,80,5,8048000,7379000,910000,0
1520753122.03,80,5,8047000,7379000,786000,0
1520753123.04,80,5,8048000,7379000,823000,0
1520753124.04,80,5,8014000,7379000,1467000,0
1520753125.05,80,5,8005000,7379000,1306000,0
1520753126.06,80,5,8057000,7379000,858000,0
1520753127.06,80,5,7986000,7379000,1062000,0
1520753128.07,80,5,8040000,7379000,1113000,0
1520753129.07,80,5,8046000,7379000,1112000,0
1520753130.08,80,5,8045000,7379000,824000,0
1520753131.09,80,5,8013000,7379000,1355000,0
1520753132.1,80,5,8019000,7379000,1410000,0
1520753133.1,80,5,8034000,7379000,956000,0
1520753134.11,80,5,8022000,7379000,924000,0
1520753135.12,80,5,8076000,7379000,550000,0
1520753136.13,80,5,8070000,7379000,495000,0
1520753137.14,80,5,8088000,7379000,432000,0
1520753138.15,80,5,8068000,7379000,624000,0
1520753139.16,80,5,8067000,7379000,640000,0
1520753140.16,80,5,8002000,7379000,943000,0
1520753141.17,80,5,8043000,7379000,903000,0
1520753142.18,80,5,8058000,7379000,740000,0
1520753143.18,80,5,8040000,7379000,800000,0
1520753144.19,80,5,8032000,7379000,1148000,0
1520753145.2,80,5,8053000,7379000,781000,0
1520753146.21,80,5,8069000,7379000,654000,0
1520753147.22,80,5,8065000,7379000,646000,0
1520753148.23,80,5,8075000,7379000,599000,0
1520753149.24,80,5,8063000,7379000,689000,0
1520753150.24,80,5,8058000,7379000,796000,0
1520753151.25,80,5,8063000,7379000,656000,0
1520753152.26,80,5,8064000,7379000,752000,0
1520753153.27,80,5,8049000,7379000,743000,0
1520753154.28,80,5,8056000,7379000,712000,0
1520753155.3,80,5,8065000,7379000,711000,0
1520753156.3,80,5,8058000,7379000,717000,0
1520753157.31,80,5,8065000,7379000,694000,0
1520753158.32,80,5,8044000,7379000,778000,0
1520753159.33,80,5,8052000,7379000,806000,0
1520753160.34,80,5,8050000,7379000,922000,0
1520753161.34,80,5,8058000,7379000,916000,0
1520753162.35,80,5,8052000,7379000,906000,0
1520753163.36,80,5,8055000,7379000,832000,0
1520753164.36,80,5,8053000,7379000,1129000,0
1520753165.37,80,5,8071000,7381000,604000,0
1520753166.38,80,5,8063000,7381000,773000,0
1520753167.39,80,5,8034000,7381000,943000,0
1520753168.39,80,5,8030000,7381000,1075000,0
1520753169.4,80,5,8026000,7381000,1041000,0
1520753170.41,80,5,8041000,7381000,812000,0
1520753171.42,80,5,8060000,7381000,651000,0
1520753172.43,80,5,8074000,7381000,598000,0
1520753173.43,80,5,8068000,7381000,615000,0
1520753174.44,80,5,8038000,7381000,745000,0
1520753175.45,80,5,8070000,7381000,720000,0
1520753176.46,80,5,8055000,7381000,739000,0
1520753177.47,80,5,8065000,7381000,635000,0
1520753178.48,80,5,8080000,7381000,534000,0
1520753179.48,80,5,8079000,7381000,475000,0
1520753180.49,80,5,8078000,7381000,462000,0
1520753181.5,80,5,8082000,7381000,455000,0
1520753182.51,80,5,8081000,7381000,480000,0
1520753183.52,80,5,8083000,7381000,465000,0
1520753184.53,80,5,8084000,7381000,442000,0
1520753185.54,80,5,8080000,7381000,473000,0
1520753186.54,80,5,8086000,7381000,463000,0
1520753187.56,80,5,8065000,7381000,693000,0
1520753188.56,80,5,8055000,7381000,633000,0
1520753189.57,80,5,8064000,7381000,873000,0
1520753190.57,80,5,8064000,7381000,780000,0
1520753191.58,80,5,8063000,7381000,608000,0
1520753192.59,80,5,8079000,7381000,541000,0
1520753193.6,80,5,8065000,7381000,567000,0
1520753194.61,80,5,8074000,7381000,649000,0
1520753195.61,80,5,8075000,7381000,565000,0
1520753196.62,80,5,8076000,7381000,555000,0
1520753197.63,80,5,8076000,7381000,526000,0
1520753198.64,80,5,8076000,7381000,551000,0
1520753199.64,80,5,8077000,7381000,534000,0
1520753200.65,80,5,8076000,7381000,540000,0
1520753201.66,80,5,8076000,7381000,528000,0
1520753202.67,80,5,8074000,7381000,543000,0
1520753203.68,80,5,8074000,7381000,545000,0
1520753204.68,80,5,8074000,7381000,552000,0
1520753205.69,80,5,8072000,7381000,557000,0
1520753206.7,80,5,8075000,7381000,559000,0
1520753207.7,80,5,8077000,7381000,513000,0
1520753208.71,80,5,8079000,7381000,487000,0
1520753209.72,80,5,8074000,7381000,541000,0
1520753210.72,80,5,8074000,7381000,585000,0
1520753211.73,80,5,8062000,7381000,628000,0
1520753212.74,80,5,8074000,7381000,589000,0
1520753213.75,80,5,8074000,7381000,588000,0
1520753214.76,80,5,8084000,7381000,477000,0
1520753215.77,80,5,8084000,7381000,489000,0
1520753216.77,80,5,8085000,7381000,467000,0
1520753217.78,80,5,8088000,7381000,477000,0
1520753218.79,80,5,8069000,7381000,631000,0
1520753219.8,80,5,8080000,7381000,571000,0
1520753220.81,80,5,8074000,7381000,560000,0
1520753221.81,80,5,8084000,7381000,526000,0
1520753222.82,80,5,8085000,7381000,474000,0
1520753223.83,80,5,8088000,7381000,499000,0
1520753224.83,80,5,8087000,7380000,493000,0
1520753225.84,80,5,8087000,7380000,503000,0
1520753226.85,80,5,8077000,7380000,536000,0
1520753227.86,80,5,8080000,7380000,591000,0
1520753228.87,80,5,8075000,7380000,556000,0
1520753229.87,80,5,8086000,7380000,477000,0
1520753230.88,80,5,8065000,7380000,629000,0
1520753231.89,80,5,8081000,7380000,542000,0
1520753232.9,79,5,8089000,7380000,465000,0
1520753233.91,79,5,8087000,7380000,471000,0
1520753234.92,79,5,8077000,7380000,564000,0
1520753235.92,79,5,8079000,7380000,570000,0
1520753236.93,79,5,8079000,7380000,544000,0
1520753237.94,79,5,8080000,7380000,576000,0
1520753238.95,79,5,8080000,7380000,536000,0
1520753239.96,79,5,8079000,7380000,624000,0
1520753240.97,79,5,8076000,7380000,625000,0
1520753241.98,79,5,8074000,7380000,594000,0
1520753242.99,79,5,8069000,7380000,644000,0
1520753243.99,79,5,8082000,7380000,536000,0
1520753245.0,79,5,8079000,7380000,527000,0
1520753246.01,79,5,8075000,7380000,581000,0
1520753247.02,79,5,8078000,7380000,516000,0
1520753248.03,79,5,8075000,7380000,576000,0
1520753249.03,79,5,8081000,7380000,574000,0
1520753250.04,79,5,8086000,7380000,473000,0
1520753251.05,79,5,8083000,7380000,481000,0
1520753252.06,79,5,8079000,7380000,494000,0
1520753253.07,79,5,8080000,7380000,521000,0
1520753254.07,79,5,8085000,7380000,472000,0
1520753255.08,79,5,8084000,7380000,466000,0
1520753256.08,79,5,8080000,7380000,482000,0
1520753257.09,79,5,8084000,7380000,480000,0
1520753258.1,79,5,8083000,7380000,470000,0
1520753259.11,79,5,8084000,7380000,472000,0
1520753260.11,79,5,8084000,7380000,471000,0
1520753261.12,79,5,8082000,7380000,479000,0
1520753262.12,79,5,8083000,7380000,471000,0
1520753263.13,79,5,8085000,7380000,473000,0
1520753264.14,79,5,8084000,7380000,474000,0
1520753265.15,79,5,8084000,7380000,472000,0
1520753266.15,79,5,8084000,7380000,465000,0
1520753267.16,79,5,8082000,7380000,491000,0
1520753268.17,79,5,8081000,7380000,478000,0
1520753269.18,79,5,8079000,7380000,528000,0
1520753270.18,79,5,8050000,7380000,584000,0
1520753271.19,79,5,8082000,7380000,514000,0
1520753272.2,79,5,8080000,7380000,491000,0
1520753273.21,79,5,8080000,7380000,593000,0
1520753274.21,79,5,8073000,7380000,550000,0
1520753275.22,79,5,8083000,7380000,547000,0
1520753276.23,79,5,8078000,7380000,555000,0
1520753277.24,79,5,8071000,7380000,605000,0
1520753278.25,79,5,8075000,7380000,535000,0
1520753279.25,79,5,8087000,7380000,491000,0
1520753280.26,79,5,8073000,7380000,653000,0
1520753281.27,79,5,8078000,7380000,547000,0
1520753282.28,79,5,8083000,7380000,496000,0
1520753283.28,79,5,8082000,7380000,503000,0
1520753284.29,79,5,8084000,7380000,523000,0
1520753285.29,79,5,8087000,7380000,490000,0
1520753286.3,79,5,8087000,7380000,484000,0
1520753287.31,79,5,8089000,7380000,474000,0
1520753288.31,79,5,8077000,7380000,497000,0
1520753289.32,79,5,8086000,7380000,469000,0
1520753290.32,79,5,8087000,7380000,504000,0
1520753291.33,79,5,8082000,7380000,480000,0
1520753292.34,79,5,8082000,7380000,493000,0
1520753293.35,79,5,8083000,7380000,482000,0
1520753294.35,79,5,8082000,7380000,494000,0
1520753295.36,79,5,8087000,7380000,466000,0
1520753296.37,79,5,8084000,7380000,483000,0
1520753297.37,79,5,8087000,7380000,468000,0
1520753298.38,79,5,8088000,7380000,473000,0
1520753299.39,79,5,8088000,7380000,480000,0
1520753300.4,79,5,8087000,7380000,466000,0
1520753301.41,79,5,8075000,7380000,579000,0
1520753302.42,79,5,8068000,7380000,580000,0
1520753303.42,79,5,8077000,7380000,565000,0
1520753304.43,79,5,8081000,7380000,566000,0
1520753305.44,79,5,8076000,7380000,531000,0
1520753306.44,79,5,8074000,7380000,540000,0
1520753307.45,79,5,8070000,7380000,593000,0
1520753308.46,79,5,8076000,7380000,547000,0
1520753309.47,79,5,8082000,7380000,488000,0
1520753310.48,79,5,8080000,7380000,526000,0
1520753311.48,79,5,8069000,7380000,553000,0
1520753312.49,79,5,8078000,7380000,584000,0
1520753313.5,79,5,8070000,7380000,602000,0
1520753314.51,79,5,8075000,7380000,603000,0
1520753315.52,79,5,8075000,7380000,589000,0
1520753316.52,79,5,8069000,7380000,643000,0
1520753317.53,79,5,8078000,7380000,541000,0
1520753318.54,79,5,8085000,7380000,524000,0
1520753319.55,79,5,8073000,7380000,595000,0
1520753320.56,79,5,8078000,7380000,549000,0
1520753321.57,79,5,8066000,7380000,582000,0
1520753322.58,79,5,8081000,7380000,528000,0
1520753323.58,79,5,8078000,7380000,549000,0
1520753324.59,79,5,8075000,7380000,582000,0
1520753325.6,79,5,8079000,7380000,589000,0
1520753326.61,79,5,8074000,7380000,608000,0
1520753327.61,79,5,8076000,7380000,542000,0
1520753328.62,79,5,8075000,7380000,576000,0
1520753329.63,79,5,8077000,7380000,553000,0
1520753330.64,79,5,8078000,7380000,526000,0
1520753331.65,79,5,8065000,7380000,616000,0
1520753332.66,79,5,8070000,7380000,625000,0
1520753333.67,79,5,8077000,7380000,580000,0
1520753334.67,79,5,8069000,7380000,611000,0
1520753335.68,79,5,8066000,7380000,573000,0
1520753336.69,79,5,8069000,7380000,555000,0
1520753337.7,79,5,8069000,7380000,633000,0
1520753338.7,79,5,8066000,7380000,613000,0
1520753339.71,79,5,8079000,7380000,584000,0
1520753340.72,79,5,8078000,7380000,545000,0
1520753341.73,79,5,8077000,7380000,548000,0
1520753342.74,79,5,8075000,7380000,545000,0
1520753343.75,79,5,8076000,7380000,531000,0
1520753344.75,79,5,8083000,7380000,472000,0
1520753345.76,79,5,8080000,7380000,488000,0
1520753346.77,79,5,8082000,7380000,471000,0
1520753347.77,79,5,8083000,7380000,484000,0
1520753348.78,79,5,8075000,7380000,523000,0
1520753349.79,79,5,8076000,7380000,522000,0
1520753350.79,79,5,8076000,7380000,498000,0
1520753351.8,79,5,8078000,7380000,485000,0
1520753352.81,79,5,8080000,7380000,470000,0
1520753353.81,79,5,8079000,7380000,481000,0
1520753354.82,79,5,8079000,7380000,469000,0
1520753355.83,79,5,8081000,7380000,479000,0
1520753356.84,79,5,8081000,7380000,469000,0
1520753357.85,79,5,8081000,7380000,484000,0
1520753358.85,79,5,8079000,7380000,484000,0
1520753359.86,79,5,8082000,7380000,492000,0
1520753360.86,79,5,8079000,7380000,486000,0
1520753361.87,79,5,8083000,7380000,484000,0
1520753362.88,79,5,8082000,7380000,468000,0
1520753363.89,79,5,8081000,7380000,475000,0
1520753364.89,79,5,8082000,7380000,467000,0
1520753365.91,79,5,8072000,7380000,525000,0
1520753366.91,79,5,8019000,7380000,724000,0
1520753367.92,79,5,8066000,7380000,596000,0
1520753368.92,79,5,8011000,7380000,941000,0
1520753369.93,79,5,8072000,7380000,613000,0
1520753370.94,79,5,8053000,7380000,703000,0
1520753371.95,79,5,8075000,7380000,530000,0
1520753372.96,79,5,8065000,7380000,712000,0
1520753373.97,79,5,8076000,7380000,518000,0
1520753374.97,79,5,8075000,7380000,498000,0
1520753375.98,79,5,8048000,7380000,680000,0
1520753376.99,79,5,8065000,7380000,615000,0
1520753378.0,79,5,8064000,7380000,701000,0
1520753379.01,79,5,8060000,7380000,613000,0
1520753380.01,79,5,8072000,7380000,544000,0
1520753381.02,79,5,8075000,7380000,484000,0
