time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
10885.9611471,53,5,7621000,7377000,840000,0,38821986980,47582532302
10886.9691401,53,5,7618000,7377000,839000,0,38823810034,47584672128
10887.978549,53,5,7621000,7377000,846000,0,38825728181,47586883182
10888.9886971,53,5,7622000,7377000,835000,0,38827589382,47589066282
10890.0030551,53,5,7622000,7377000,835000,0,38829460838,47591258598
10891.0144131,53,5,7623000,7377000,834000,0,38831320574,47593426073
10892.0255201,53,5,7622000,7377000,835000,0,38833186109,47595631755
10893.034071,53,5,7623000,7377000,835000,0,38835025276,47597781408
10894.0421212,53,5,7623000,7377000,831000,0,38836857608,47599917023
10895.0514441,53,5,7624000,7377000,831000,0,38838718199,47602074061
10896.060148,53,5,7622000,7377000,835000,0,38840567926,47604238179
10897.0692341,53,5,7620000,7377000,835000,0,38842446156,47606432021
10898.078336,53,5,7621000,7377000,838000,0,38844322738,47608634408
10899.0903981,53,5,7615000,7377000,845000,0,38846161295,47610825076
10900.0992951,53,5,7619000,7377000,835000,0,38848020299,47613018002
10901.1084411,53,5,7619000,7377000,836000,0,38849847748,47615146171
10902.1215351,53,5,7618000,7377000,831000,0,38851694973,47617307969
10903.1329451,53,5,7619000,7377000,834000,0,38853552878,47619489421
10904.1449862,53,5,7624000,7377000,839000,0,38855425981,47621684484
10905.1533201,53,5,7624000,7377000,840000,0,38857284436,47623859344
10906.1613691,53,5,7624000,7377000,837000,0,38859143257,47626034082
10907.172673,53,5,7621000,7377000,845000,0,38860994265,47628226093
10908.182404,53,5,7622000,7377000,840000,0,38862860532,47630423903
10909.193449,53,5,7620000,7377000,837000,0,38864731865,47632617379
10910.2016101,53,5,7621000,7377000,836000,0,38866579456,47634771548
10911.2123661,53,5,7620000,7377000,833000,0,38868444869,47636981686
10912.2233782,53,5,7620000,7377000,832000,0,38870268472,47639108390
10913.2332301,53,5,7619000,7377000,834000,0,38872103123,47641241502
10914.2403111,53,5,7618000,7377000,840000,0,38873945953,47643436382
10915.2493122,53,5,7619000,7377000,841000,0,38875790126,47645627416
10916.2608051,53,5,7618000,7377000,842000,0,38877641195,47647796600
10917.2724571,53,5,7619000,7377000,838000,0,38879504472,47649995447
10918.281378,53,5,7619000,7377000,836000,0,38881339306,47652133320
10919.290693,53,5,7620000,7377000,832000,0,38883197516,47654318556
10920.2983432,53,5,7620000,7377000,832000,0,38885073976,47656507820
10921.3092332,53,5,7620000,7377000,842000,0,38886939206,47658695559
10922.323169,53,5,7619000,7377000,833000,0,38888784233,47660874142
10923.334661,53,5,7619000,7378000,837000,0,38890684131,47663100577
10924.3443151,53,5,7617000,7378000,849000,0,38892555097,47665315171
10925.35584,53,5,7614000,7378000,845000,0,38894397500,47667493022
10926.3653271,53,5,7619000,7378000,834000,0,38896254246,47669671056
10927.376714,53,5,7619000,7378000,835000,0,38898108855,47671843108
10928.387305,53,5,7621000,7378000,833000,0,38899955713,47674021997
10929.397402,53,5,7621000,7378000,846000,0,38901852803,47676334613
10930.4086261,53,5,7621000,7378000,850000,0,38903703445,47678510450
10931.4192472,53,5,7621000,7378000,839000,0,38905612437,47680791999
10932.4292872,53,5,7622000,7378000,848000,0,38907436346,47682923707
10933.43871,53,5,7621000,7378000,833000,0,38909278687,47685068782
10934.4483111,53,5,7620000,7378000,831000,0,38911101070,47687212271
10935.460623,53,5,7622000,7378000,829000,0,38912940238,47689364731
10936.470165,53,5,7619000,7378000,832000,0,38914777758,47691519388
10937.482779,53,5,7617000,7378000,833000,0,38916650617,47693690342
10938.4955201,53,5,7618000,7378000,833000,0,38918507118,47695893645
10939.506346,53,5,7617000,7378000,842000,0,38920353366,47698060876
10940.514411,53,5,7620000,7378000,830000,0,38922160551,47700175250
10941.524353,53,5,7618000,7378000,832000,0,38924010583,47702348645
10942.5364392,53,5,7617000,7378000,833000,0,38925890461,47704552070
10943.54549,53,5,7619000,7378000,848000,0,38927834243,47706795106
10944.557328,53,5,7618000,7378000,850000,0,38929767710,47709017207
10945.5666561,53,5,7619000,7378000,835000,0,38931610539,47711162893
10946.5764551,53,5,7614000,7378000,849000,0,38933491272,47713392807
10947.5842211,53,5,7619000,7378000,833000,0,38935352656,47715571756
10948.5932422,53,5,7619000,7378000,832000,0,38937170279,47717696934
10949.6024592,53,5,7615000,7378000,838000,0,38939060166,47719907255
10950.6142452,53,5,7619000,7378000,832000,0,38940916607,47722091332
10951.6243501,53,5,7619000,7378000,838000,0,38942786719,47724290911
10952.6330972,53,5,7620000,7378000,832000,0,38944622469,47726443310
10953.6424792,53,5,7619000,7378000,833000,0,38946478726,47728633490
10954.652652,53,5,7614000,7378000,856000,0,38948413902,47731018128
